type,activity,sex_,injury,fatal_(y/n),species_
Provoked,Canoeing,M,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,"Bull shark, 1.5m "
Unprovoked,Surfing,M,"No injury, surfboard bitten",N,"White shark, 16' "
Unprovoked,Fishing,M,Lower right leg and foot bitten,N,
Unprovoked,Surfing,M,Left ankle bitten,N,
Unprovoked,Surfing,M,Lacerations to lower left leg,N,1' to 4' shark
Unprovoked,Playing soccer in the water,M,Lacerations to foot,N,3' to 3.5' shark
Unprovoked,Free diving / modeling,F,Puncture wounds to left foot,N,
Unprovoked,Murder,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,
Invalid,Spearfishing,M,No injury; 4m white shark made a threat display,,Invalid
Unprovoked,Surfing,M,Big toe bitten,N,
Provoked,Diving / Kissing the shark,M,Lacerations to upper lip    PROVOKED INCIDENT,N,Nurse shark
Unprovoked,Surfing,M,Laceration to left thigh,N,
Unprovoked,Swimming,M,Minor injury to left hand,N,Spinner shark
Unprovoked,Surfing,M,Left torso grazed,N,5' shark
Invalid,Diving,M,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,No shark involvement
Unprovoked,,M,FATAL,Y,
Unprovoked,Standing,M,Puncture wounds and cuts to right thigh,N,3' shark
Unprovoked,Swimming,M,Arm bitten,N,
Unprovoked,Surfing,M,"No injury, shark rammed surfboard",N,"White shark, 3.5m "
Unprovoked,Surfing,M,Laceration & puncture wounds to foot,N,
Unprovoked,Surfing,M,"No injury, shark towed  surfer & board",N,"Bronze whaler shark, 6'"
Unprovoked,Body boarding,M,Laceration to right calf & heel,N,
Invalid,,M,Shark bites may have been post mortem,,Shark involvement prior to death was not confirmed
Invalid,Spearfishing,M,Shark involvement prior to death not confirmed,,Shark involvement prior to death was not confirmed
Sea Disaster,Sea Disaster,M,FATAL,Y,
Unprovoked,Surfing,M,FATAL,Y,
Unprovoked,Surfing,M,"No injury, surfboard leash severed",N,5 m shark
Unprovoked,Lifesaving drill,M,Foot severed,N,White shark
Unprovoked,Wading,F,Lacerations & punctures to left foot,N,
Unprovoked,Spearfishing,M,Thigh bitten,N,"Bull shark, 1.5m "
Provoked,Touching sharks,,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,small catsharks
Unprovoked,Surfing,M,Minor injury,N,White shark?
Invalid,Boogie Boarding,M,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,"Thought to involve a mako shark, but possibly a sea lion"
Unprovoked,Surfing,M,Foot bitten,N,
Unprovoked,Surf-skiing,M,"No injury, surf ski bitten",N,"White shark, 3m to 4m"
Unprovoked,Surfing,M,Minor lacerations to right foot,N, 
Unprovoked,Surf fishing,M,Right foot bitten,N,"Bull shark, 4' to 5' "
Invalid,,,8 shark-bitten bodies washed ashore,,Shark involvement prior to death was not confirmed
Unprovoked,Standing,M,Left ankle & foot bitten,N,"Angel shark, 1.2m "
Invalid,Swimming,F,Hand & wrist severely bitten,,"Shark involvement not confirmed, injury may have been caused by a bluefish"
Unprovoked,Swimming,F,Ankle & foot bitten,N,
Unprovoked,,M,FATAL,Y,Bull or tiger shark
Unprovoked,Wading,M,Dorsum of left foot bitten,N,
Unprovoked,Walking,M,Lower leg & ankle bitten,N,
Unprovoked,Body boarding,F,Foot bitten,N,5' to 6' spinner or bull shark
Unprovoked,Swimming,M,Right calf bitten,N,
Unprovoked,Spearfishing,F,Lacerations & puncture wound  to arm,N,"1.8 m blacktip ""reef"" shark"
Unprovoked,Spearfishing,M,Minor injuries,N,"1.8 m blacktip ""reef"" shark"
Unprovoked,Body boarding,F,Right calf bitten,N,
Provoked,Fishing,M,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,
Unprovoked,Spearfishing,M,Right arm severely bitten,N,
Unprovoked,Surfing,F,2-inch puncture wounds on right foot,N,Possibly a 1' to 3' blacktip or spinner shark
Unprovoked,Body boarding,M,Left thigh bitten FATAL,Y,
Unprovoked,Scuba diving,M,"No injury, shark bit scuba tank boot",N,
Unprovoked,Surfing,M,Four 1-inch puncture wounds on left foot ,N,2' to 3' shark
Unprovoked,Playing,F,Lacerations & puncture wounds to left foot & buttocks,N,3' to 4' shark
Unprovoked,Surfing,M,"No injury, knocked off surfboard",N,14' white shark
Unprovoked,Spearfishing,M,"4"" laceration to left forearm",N,"Tiger shark, 8' to 12'"
Provoked,Tagging sharks,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,"Tiger shark, 15' female"
Unprovoked,Surfing,M,"No injury, shark bumped surfboard",N,
Provoked,Spearfishing,M,Knee bitten after diver poked shark PROVOKED INCIDENT,N,"Grey reef shark, 5' to 8' "
Unprovoked,Surfing,M,"Injuries to left thigh, calf & foot",N,
Unprovoked,Scuba diving,F,Laceration to leg,N,"Tiger shark, 10' to 12'"
Unprovoked,,M,Small lacerations to arm,N,
Unprovoked,Swimming,F,2 lacerations on lower right leg,N,
Provoked,Snorkeling,M,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,"Wobbegong shark, 2 m "
Invalid,,M,Shark bites post mortem,,Invalid
Unprovoked,Surfing,M,Feet bitten,N,
Unprovoked,Standing,F,3 tiny punctures & small lacerations on right ankle,N,
Provoked,Fishing,M,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,"Bull shark, 4' to bull shark"
Unprovoked,Surfing,M,Minor laceration to left foot,N,"Bronze whaler shark, a  juvenile "
Unprovoked,Body boarding,M,Leg bitten,N,"Raggedtooth shark, 2.5 m to 3 m "
Unprovoked,Swimming,M,Left leg bitten,N,Tiger shark
Unprovoked,Wading,M,Minor injury to right hand & thigh,N,
Unprovoked,Fishing,M,Reportedly FATAL but few details,Y,"3 m, 600-kg shark"
Unprovoked,Surfing,F,5 puncture wounds in left calf,N,"Tiger shark, 10'  "
Invalid,Swimming,M,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,M,Lacerations to right hand,N,"Tiger shark, 5' "
Unprovoked,Surfing,M,"No injury, shark nudged surfboard",N,"Bronze whaler shark, 2 m"
Unprovoked,Standing,F,Deep laceration to right calf,N,5' to 7' shark
Invalid,Free diving,M,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,,Invalid
Unprovoked,Wading,M,Lacerations to foot,N,
Unprovoked,Swimming,M,Puncture wound on arm,N,
Boating,Fishing,M,No injury to occupants; shark nudged the 5.3 m boat,N,4.5 m white shark
Unprovoked,Surfing,M,2 bite marks on right calf,N,Raggedtooth shark
Unprovoked,Swimming,F,Severe bite to right leg FATAL,Y,Tiger shark
Boating,Kayaking,M,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,12' to 18' shark
Boating,Competing in the Woodvale Atlantic Rowing Race,M,No injury to occupants; shark rammed boat repeatedly,N,12' shark
Unprovoked,Spearfishing,M,Right arm  bitten,N,
Boating,Competing in the Woodvale Atlantic Rowing Race,F,"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,
Unprovoked,Night Surfing,M,"No injury, but 2 small nicks on wetsuit",N,
Unprovoked,Scuba diving,M,Lacerations to left elbow,N,3.5 m white shark
Invalid,Diving for lobsters,M,"No injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",,Invalid
Unprovoked,Swimming,F,FATAL,Y,Bull shark
Unprovoked,Surfing,M,3 puncture wounds in right wrist & hand,N,4' shark
Unprovoked,Diving for crayfish,M,Lacerations to little finger,N,Said to involve a 1.5 m shark
Unprovoked,Surfing,M,Lacerations to ankle & calf,N,White shark
Unprovoked,Swimming,M,Left hand bitten,N,Tiger shark
Boating,Competing in the Woodvale Atlantic Rowing Race,,"No injury to occupants, shark rammed boat for 15 minutes",N,3 m shark
Unprovoked,Spearfishing,M,Right forearm & elbow bitten,N,Whitetip reef shark
Boat,Fishing,,"No injury to occupants, hydrofoil of outboard motor bitten ",N,4 m white shark
Unprovoked,Surfing,M,Left foot bitten,N,
Unprovoked,Surfing,M,Right thumb & palm lacerated,N,4' shark
Boat,Fishing,,"No injury to occupant, shark bit outboard motor",N,3 m white shark
Unprovoked,Surfing,M,"2 lacerations on leg, each 4"" to 5"" long",N,1.8 m shark
Unprovoked,Surfing,M,"Cut on finger, board bitten",N,
Unprovoked,Spearfishing,,Arm bitten,N,
Unprovoked,Surfing,M,Left foot bitten,N,4' shark
Unprovoked,Surfing,M,Lacerations to right thigh,N,
Boat,,,"No injury to occupants, shark lifted bow of boat 3 times",N,4.5 m white shark
Provoked,Fishing for sharks,M,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,"Raggedtooth shark, 2.5m "
Unprovoked,Surfing,M,Puncture wounds to right foot,N,6' shark
Unprovoked,Surfing,M,"No injury, board bitten",N,
Unprovoked,Surfing,M,"No injury, board bumped",N,12' to 14' white shark
Unprovoked,Wading,M,Puncture wounds to foot,N,2' to 3' shark
Unprovoked,Standing,M,Lower right leg lacerated,N,2' shark
Unprovoked,Standing / Surfing,M,Right foot bitten,N,3 m shark
Unprovoked,Surfing,M,No injury,N,White shark
Unprovoked,Surfing,F,Leg bitten,N,18' white shark
Provoked,Wading,M,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,
Unprovoked,Surfing,M,"No injury, surfboard bitten",N,"Tiger shark, less than 10'"
Unprovoked,Scuba diving,F,No injury ,N,Caribbean reef sharks
Unprovoked,Treading water/ Surfing,M,Five 1-inch lacerations to left foot,N,
Unprovoked,Diving,M,Lacerations to right side of face,N,
Unprovoked,Surf-skiing,M,"No injury, shark bit ski",N,White shark
Unprovoked,Surfing,M,"No injury, knocked off board",N,"Tiger shark, 3 m "
Unprovoked,Surfing,M,Lacerations to legs,N,14' to 16' white shark
Unprovoked,Surfing,M, No injury,N,Bronze whaler shark
Invalid,Surfing,M,Lacerations to dorsum of left foot,,Shark involvement not confirmed
Unprovoked,Body surfing,F,"Injuries to fingers, calf  & heel",N,3' to 4' shark
Unprovoked,Surfing,M,FATAL,Y,
Unprovoked,Standing,M,Left foot & ankle lacerated,N,
Unprovoked,Wading,F,Calf severely lacerated,N,Bull shark
Unprovoked,Surfing,M,Lacerations to right arm & thigh,N,4 m [13'] white shark
Unprovoked,Standing / Surfing,M,Right foot bitten,N,
Provoked,Removing shark from net,M,FATAL PROVOKED INCIDENT,Y,"2 m [6.75'] shark, 200-kg shark T"
Unprovoked,Scuba diving,M,FATAL,Y,White shark
Unprovoked,Surfing,M,Lower right leg lacerated,N,juvenile white shark
Invalid,"Boogie boarding, kicked at object in the water",M,"Laceration to knee, possibly by a  small blacktip shark",,Shark involvement not confirmed
Unprovoked,Swimming,M,Bitten underneath left arm,N,Possibly a sandbar shark or small blacktip shark
Unprovoked,Walking,M,Left foot bitten,N,
Invalid,,,Human foot recovered from the water,,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,M,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,1.8 m [6'] shark
Unprovoked,Swimming,M,Puncture wounds on left foot ,N,
Invalid,Fishing,M,"FATAL, shark involvement prior to death is unconfirmed",,Invalid
Unprovoked,Wading,F,Laceration on the back of left hand & toothmarks on wrist,N,
Unprovoked,Surfing,M,"Right foot: Toes and back of foot, minor injury",N,
Invalid,Surfing,M,"Straight 2.5"" laceration on top of left ankle",,Shark involvement not confirmed
Invalid,Swimming,M,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,Shark involvement prior to death was not confirmed
Provoked,Scuba diving in aquarium tank,M,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,3.5 m [11.5']shark
Unprovoked,Swimming,M,Lacerations of left forearm,N,[4.5' to 5'] shark
Unprovoked,Holding onto an inflatable boat,F,Left foot bitten,N,[4' to 5']
Unprovoked,Standing,M,Ankle bitten,N,
Unprovoked,Fishing,M,"Leg severely bitten, surgically amputated",N,Bull shark
Unprovoked,Swimming with boogie board,F,"FATAL, leg bitten",Y,1.8 m [6'] bull shark
Unprovoked,Swimming,F,FATAL,Y,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
Unprovoked,Surfing,M,Left foot bitten,N,
Invalid,Swimming,M,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",,Invalid
Unprovoked,Swimming,M,Foot bitten,N,"Unknown, but it was reported that a shark tooth was recovered from the wound"
Unprovoked,Diving,F,Knee bitten,N,3 m [10'] white shark
Unprovoked,Boogie boarding,F,Foot lacerated,N,
Invalid,Surfing,M,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident"
Unprovoked,Spearfishing (Free diving),M,FATAL,Y,White shark
Unprovoked,Wading,M,Two 2-inch lacerations on right foot,N,
Unprovoked,Swimming,M,Left foot bitten,N,"""small shark"""
Unprovoked,Crouching in 2' of water,F,Right arm & torso bitten,N,"18"" to 36"" shark"
Unprovoked,Surfing,M,Left buttock  & legs lacerated ,N,Raggedtooth shark
Unprovoked,Spearfishing,M ,Severe injury to lower leg,N,Blacktip shark
Boating,Kayaking,,"No injury, shark bit kayak",N,"Tiger shark, 8' to 9' "
Unprovoked,Fishing,M,Thigh bitten,N,2.5 m shark
Sea Disaster,Sea Disaster,M,No injury,N,
Unprovoked,Surfing,M,"No injury, board damaged",N,"Tiger shark, 3 m [10']"
Provoked,Fishing,M,Laceration on left thigh PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] "
Unprovoked,,,Shark-bitten surfboard found adrift,N,
Unprovoked,Spearfishing,M,Minor cuts above his right eye,N,2 m [6.75'] copper shark
Unprovoked,Surfing,M,"No injury, board bitten",N,Bronze whaler shark
Unprovoked,Wading,F,Right lower leg bitten,N,1.8 m [6'] blacktip shark
Invalid,Surfing,M,Foot injured ,,Shark involvement not confirmed
Unprovoked,Surfing,M,Left foot bitten ,N,
Unprovoked,,F,Left calf injured,N,small hammerhead shark
Invalid,SCUBA Diving,F,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",,Shark involvement not confirmed
Unprovoked,Surfing,M,"Lacerations to right calf, puncture wounds on right foot",N,4 m [13'] shark
Unprovoked,Surfing,M,"No injury, shark rammed surfboard",N,
Unprovoked,Surfing,M,Right leg bitten,N,
Unprovoked,Snorkeling,M,FATAL,Y,6 m [20'] white shark
Provoked,Diving in aquarium display tank,M,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,"Sandtiger shark, 2.1 m [7'] "
Invalid,,M,Bites by 2.5 m tiger shark were post mortem,,Invalid
Provoked,Fishing,M,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,"Bronze whaler shark, 4.3 m [14'] "
Unprovoked,Diving,M,Thighs bitten,N,
Unprovoked,Swimming,M,Finger bitten,N,Bull shark
Provoked,Spearfishing,M,Speared shark bit his chest PROVOKED INCIDENT,N,"Nurse shark, 3' "
Unprovoked,Surfing,M,"No injury, knocked off board, shark bit board",N,"Tiger shark, 2.4 m [8']"
Unprovoked,Spearfishing,M,Hand bitten,N,1.8 m [6'] Caribbean reef shark
Unprovoked,Surfing,M,Right thigh & ankle injured,N,
Unprovoked,Swimming,M,Left foot severed,N,3 m [10'] shark
Provoked,Spearfishing,M,No injury. Towed by speared shark PROVOKED INCIDENT,N,3 m shark
Provoked,Attempting to drive shark away from sailing regatta,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
Boating,Fishing from a kayak,M,"No injury, kayak bumped repeatedly",N,White shark
Invalid,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,No injury,,No shark involvement
Unprovoked,Scurfing (surfboard being  towed behind a boat),M,FATAL,Y,4.5 m & 5 m white shark 
Unprovoked,Spearfishing,M,"FATAL, leg bitten",Y,Bull shark
Unprovoked,Surfing,M,3 lacerations on foot,N,Raggedtooth shark
Unprovoked,Playing,M,Lacerations on lower leg & foot,N,Raggedtooth shark
Unprovoked,Swimming,F,FATAL,Y,6 m [20'] white shark
Unprovoked,Surfing,lli,"Lacerations to hand, knee & thigh ",N,5.5 m [18'] white shark
Unprovoked,Snorkeling,M,Thigh bitten,N,
Unprovoked,Diving,,Forearm bitten,N,3 m shark
Unprovoked,Diving,M,Left forearm bitten,N,2.5 m [8.25'] bull shark
Invalid,,,No injury,,Invalid
Unprovoked,Chumming for white sharks,M,Right ankle & foot lacerated,N,2 m [6.75'] white shark
Unprovoked,Surfing,M,Right foot lacerated,N,"Bronze whaler shark, 2.4 m [8'] "
Unprovoked,Surfing,M,Lower leg bitten,N,1.8 m to 2.4 m [6' to 8'] white shark
Unprovoked,Spearfishing,M,Left shoulder bitten,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
Unprovoked,Surfing,M,Puncture wounds on right foot,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
Unprovoked,Body boarding,M,"Leg severely bitten, surgically amputated",N,Thought to involve a 2.5 m bull or tiger shark
Unprovoked,Surfing,M,"No injury, knocked off surfboard",N,
Unprovoked,Surfing,M,"No injury, shark struck board & spun it around",N,
Boat,Spearfishing/ filming,,"No injury to occupants, boat damaged",N,"Tiger shark, 3 m [10'] "
Unprovoked,Surfing,M,Leg bitten,N,White shark
Invalid,Surf fishing,M,Minor scratch on calf,,Shark involvement questionable
Unprovoked,Swimming,,FATAL,Y,
Unprovoked,Jumping,F,Left knee & leg bitten,N,2.4 m [8'] shark
Unprovoked,Walking,F,Heel bitten,N,
Unprovoked,Bathing,M,Calf bitten & both hands injured,N,"Tiger shark, 1.5 m "
Unprovoked,Surfing,M,Foot bitten,N,0.9 m to 1.2 m [3' to 4'] white shark
Unprovoked,Diving,M,FATAL,Y,4.9 m to 5.5 m [16' to 18'] white shark
Unprovoked,Swimming,M,"Back, buttocks, left hand & left side of face bitten",N,1.2 m [4'] shark
Unprovoked,Spearfishing,M,Minor puncture wounds to leg,N,
Boat,Fishing,,No injury to occupants; boat damaged,N,3 m to 4 m [10' to 13']  white shark
Unprovoked,Surfing,F,Right foot bitten,N,
Unprovoked,Diving & fishing with net,M,Thigh & calf bitten,N,White shark
Unprovoked,Surfing,F,Right calf bitten,N,
Unprovoked,Swimming,F,Right forearm & wrist lacerated,N,1.8 m [6'] shark
Unprovoked,Swimming,F,Right foot bitten,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,Wading / fishing & carrying a bag of fish,M,Right forearm nearly severed and bites above & below the right knee,N,Bull shark
Boating,Fishing,,"No injury to occupants; shark mouthed motor, severed anchor line",N,4 m [13'] white shark
Unprovoked,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,Suffered broken ribs when the shark's tail fin slammed into his chest,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
Unprovoked,Surfing,M,"FATAL, abdomen, pelvis & leg bitten      ",Y,"2 sharks, 4.5 m & 3 m "
Unprovoked,Snorkeling,F,Hand severed,N,"""black tipped"" shark"
Unprovoked,Wading,M,Right foot lacerated,N,4' to 5' shark
Unprovoked,Surfing,M,"No injury, shark struck his board",N,"9'2"" white shark"
Invalid,Crayfishing,M,"No injury, shark made threat displays & diver fended it off with his speargun",,Invalid
Unprovoked,In water with diving seabirds,F,Foot bitten,N,
Unprovoked,Body boarding,M,Ankle & foot lacerated,N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,Swimming,M,Right wrist  & left arm lacerated,N,1.2 m [4'] shark
Unprovoked,"Swimming, poaching perlemoen",M,"FATAL, leg severed ",Y,White shark
Unprovoked,Wading,M,Puncture wounds on shin,N,0.9 m to 1.5 m [3' to 5'] shark
Unprovoked,Swimming,M,"Left hand, foot severed &  left calf & arm bitten",N,Bull shark
Unprovoked,Surfing,M,No injury,N,2.4 m to 3.7 m [8' to 12'] shark
Unprovoked,Boogie-boarding / swimming,M,Calf & foot lacerated,N,
Invalid,Swimming,M,Single puncture wound on the foot,,Shark involvement not confirmed
Unprovoked,,F,Foot bitten,N,
Unprovoked,Wading,F,Hips & thighs bitten,N,
Provoked,Free diving & spearfishing,M,Left forearm bitten PROVOKED INCIDENT,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
Unprovoked,Tandem surfing,M,"No injury, board bitten",N,"Mako shark, 1.8 m [6']"
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Diving,M,Puncture wounds on wrist,N,"Wobbegong shark, 1.2 m [4'] k"
Boat,Fishing,,"No injury to occupants, boat scratched by shark",N,"White shark, 5.5 m [18']"
Unprovoked,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,small sharks
Invalid,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,Questionable Incident
Unprovoked,Surfing,M,FATAL Severe wound to right thigh & calf,Y,Tiger shark
Unprovoked,Surfing,M,"Left leg lacerated, right leg severed above the knee ",N,5 m [16.5'] white shark
Invalid,Surfing,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,Shark involvement prior to death was not confirmed
Unprovoked,,M,Right foot bitten,N,
Unprovoked,Surfing,M,15 puncture wounds on foot,N,1.2 m [4'] bull shark
Unprovoked,Body boarding,M,"Lower left leg bitten, surgically amputated",N,bull shark
Unprovoked,Surfing,M,Heel bitten,N,bull shark
Unprovoked,Surfing,M,Right thigh bitten,N,2.5 m shark
Unprovoked,Swimming,M,Minor lacerations & abrasions on forearm,N,
Unprovoked,Snorkeling,F,Lacerations to left foot,N,1.8 m [6'] shark
Unprovoked,Spearfishing,M,No injury,N,Bronze whaler shark
Unprovoked,Surfing,M,"No injury, board bitten",N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,Spearfishing,M,Shin & calf bitten,N,"Bronze whaler shark, 1.5 m [5'] "
Unprovoked,Swimming,M,"FATAL, right thigh & hip bitten   ",Y,
Unprovoked,Surfing,M,Thigh lacerated,N,2 m [6.75'] sevengill  shark
Unprovoked,Swimming,M,Three toes lacerated,N,
Invalid,Free diving & spearfishing,M,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",,Shark involvement not confirmed
Unprovoked,Snorkeling,M,FATAL,Y,
Unprovoked,Snorkeling,M,Leg bitten,N,"60 cm [23.6""] blind or brown shark"
Unprovoked,Scuba diving,M,Left leg bitten,N,4 m to 5 m [13' to 16.5'] white shark
Unprovoked,Surfing,M,Puncture wounds to dorsum of right foot,N,Possibily a  1.5 to 2 m sandtiger shark
Invalid,Boogie boarding,M,"No injury, swim fin damaged",,Shark involvement doubtful
Unprovoked,Swimming,M,Lower back & hand bitten,N,"Bull shark, 1.65 m [5'5""] was speared & killed"
Unprovoked,Spearfishing,M,Right leg bitten,N,"Bull shark, 132-kg [291-lb] "
Boating,Surf skiing,M,"No injury to occupants, stern of ski bitten",N,"Mako shark, 3 m to 4 m [10' to 13'] "
Unprovoked,Diving,M,"No injury, swim fin ripped off",N,"Raggedtooth shark, 3.5 m [11.5'] "
Unprovoked,Surfing,M,Foot lacerated,N,Raggedtooth shark
Invalid,Kayaking (returning from spearfishing),M,"No injury, no attack, shark took fish from back of kayak",,Invalid
Sea Disaster,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,"No survivors, sharks scavenged on remains",Y,
Unprovoked,Surfing,M,No inury,N,
Boating,,,No injury to occupants,N,Shortfin mako shark
Invalid,Swimming,M,Knee lacerated,,Questionable Incident
Unprovoked,Swimming,M,Foot bitten,N,
Unprovoked,Swimming / shipwreck,M,FATAL,Y,
Unprovoked,Surfing amid a shoal of sharks,M,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,
Unprovoked,Swimming,M,"After biting Halverson, it bit Scott's thigh",N,"Wobbegong shark, 1.2 m [4'] "
Unprovoked,Swimming,M,Hand & foot bitten,N,"Wobbegong shark, 1.2 m [4'] "
Unprovoked,Spearfishing,M,"Presumed FATAL, severed hand recovered",Y,"Tiger shark, 4 m [13']  ?"
Unprovoked,Surfing,F,Severe abrasion to left lateral calf,N,4' shark
Unprovoked,Swimming or surfing,M,Left index finger lacerated,N,Tiger shark?
Unprovoked,Surfing,M,Lacerations to hand,N,
Unprovoked,Snorkeling,M,Hand/elbow injured,N,2.5 oceanic whitetip shark
Unprovoked,Surf skiing,,"No injury to occupants, hull of ski bitten",N,White shark
Unprovoked,Standing,M,Minor lacerations to leg & foot,N,
Provoked,Spearfishing,M,Left forearm bitten PROVOKED INCIDENT,N,"Nurse shark, 60 cm to 90 cm [2' to 3'] "
Unprovoked,Surfing,M,Left foot (sole) bitten,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,Surfing,M,Left ankle & foot lacerated,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
Unprovoked,Surfing,F,Left arm severed below shoulder,N,"Tiger shark, 14' "
Unprovoked,Surfing,M,Laceration on right ankle & heel,N,
Invalid,Snorkeling,M,Left forearm lacerated,,Shark involvement not confirmed
Unprovoked,Surfing,M,Foot bitten,N,1.2 m [4'] shark
Invalid,Swimming to shore from boat or kayak,M,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,Shark involvement prior to death was not confirmed
Unprovoked,Surfing,F,Minor puncture wounds in hand,N,
Unprovoked,Surfing,M,5 to 6 lacerations on right foot & ankle,N,
Provoked,Surfing,M,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,
Unprovoked,Sitting on surfboard,M,Left foot bitten,N,
Unprovoked,Wading near a fishing net,F,"Left thigh abraded, right knee and right index finger injured",N,"1.2 m [4'] ""grey-colored shark"""
Unprovoked,Wading to shore from his boat,M,FATAL abdomen bitten,Y,
Unprovoked,Surfing,M,Arm lacerated,N,
Unprovoked,Surfing,M,Left foot bitten,N,
Unprovoked,Surfing,M,Left heel lacerated,N,
Unprovoked,Surfing,M,3 puncture wounds on left foot,N,
Unprovoked,Surfing,M,Left foot: lacerations on heel and sole,N,3' shark
Boat,Fishing ,,"No injury to occupants, shark bit boat",N,2 m cow shark
Invalid,Swimming,F,Puncture wounds on inner thigh,,Shark involvement doubtful
Unprovoked,Body boarding,M,Left calf avulsion,N,6' shark
Unprovoked,"Standing, stepped on shark",M,Ankle lacerated,N,7' shark
Unprovoked,Body boarding,M,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,White shark
Unprovoked,Wade-fishing,M,2 lacerations on each side of Achilles tendon,N,
Provoked,Fishing,M,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,1.2 m [4'] bull shark
Unprovoked,"Swimming, wearing black wetsuit & swim fins",F,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,4.5 m to 5.5 m [15' to 18'] white shark
Invalid,Swimming,M,Left ankle lacerated,,Shark involvement not confirmed
Unprovoked,Sitting on surfboard,M,"No injury, wetsuit torn & board bitten",N,3.5 m [11.5'] white shark
Unprovoked,Surf skiing,M,"No injury, flung into water when shark bit rudder of ski",N,
Unprovoked,Surfing,M,Laceration to little finger of  right hand,N,
Unprovoked,Wading,F,Heel & sole of left foot,N,
Unprovoked,Spearfishing,M,Right thigh bitten,N,Unidentified species
