type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Unprovoked,Boogie boarding,F,Puncture wounds to calf and hand,N,3.5' to 4' shark,Unidentify,Board sports,Undetermined,Upper extremities
Provoked,Spearfishing,,Minor laceration to hand  PROVOKED INCIDENT,N,"Tiger shark, 10' to 12' ",Tiger Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming or boogie boarding,F,Puncture wound to left ankle,N,3.5' to 4' shark,Unidentify,Board sports,Undetermined,Lower extremities
Provoked,Shark fishing,M,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,"Porbeagle shark, 7'",Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to torso and arm,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Wading or swimming,M,Lacerations to leg,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Boating,Fishing,,"No injury, shark grabbed outboard motor",N,4.5 m shark,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Free diving ,M,Lacerations to little finger of left hand,N,"Lemon shark, 4' to 5' ",Lemon Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Right hand and foot severed,N,Bull shark,Bull Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Shoulder bitten,N,"Lemon shark, 2.5m to 3m ",Lemon Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury, surfer knocked off board when shark struck surfboard",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to torso & arm,N,White shark or bronze whaler,Cooper Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Left foot bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Body surfing,M,Lacerations to both legs below the knees,N,Thought to involve a white shark,White Shark,Board sports,Amputations or Lacerations,Lower extremities
Invalid,empty,M,Shark involvement unconfirmed,,Shark involvement not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Surfing,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Invalid,Swimming,M,Probable drowning with post-mortem bite,,empty,Unidentify,Swimming,Amputations or Lacerations,Undetermined
Invalid,Surfing,F,"Lacerations to 2 fingers, but shark involvement unconfirmed",,"Salmon shark suspected, but unlikely",Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,FATAL,Y,"White shark, 5m",White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,F,Lacerations to right ankle and calf,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Lacerations to right leg,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Invalid,Scuba diving,F,Cause of death was drowning & preceded shark involvement,,empty,Unidentify,Diving,Undetermined,Undetermined
Boating,Kayaking,M,"No injury, kayak bitten",N,14' to 18'shark,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerattions to left thigh & knee,N,15' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Swimming,,"Leg struck. Initally reported as a shark attack, but involved a swordfish",,No shark involvement,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Swimming,M,Thigh bitten,N,possibly a bull shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Nip to left foot,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Sitting in the water,F,Laceration to left calf,N,a small reef shark,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,"Knocked off board, shark bit nose off surfboard",N,empty,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,M,Minor injury,N,empty,Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Surf skiing ,M,"No injury, ski severely damaged",N,3 m shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Invalid,Standing,M,"Laceration to foot. Injured by a stingray, not a shark",,No shark involvement,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,F,Numerous puncture wounds to leg ,N,empty,Unidentify,Wading,Undetermined,Lower extremities
Provoked,Fishing,M,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,Nurse shark,Nurse Shark,Fishing,Undetermined,Undetermined
Unprovoked,Swimming,F,Foot & hand bitten,N,small blacktip shark?,Blacktip Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Minor injury,N,Shark involvement not confirmed,Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Calf bitten,N,small blacktip shark?,Blacktip Shark,Swimming,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,M,Laceration to right foot,N,Blacktip shark ,Blacktip Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Laceration to right foot,N,1.5 m shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Attempting to rescue an injured & beached shark,M,Lower left leg injured PROVOKED ACCIDENT,,"Blue shark, 2.5m",Blue Shark,Other,Undetermined,Lower extremities
Unprovoked,Surf skiing ,M,"No injury, ski bitten",N,"White shark, 2 m",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,F,Laceration to thigh,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Boogie Boarding,M,Severe laceration to foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,F,Foot bitten,N,"18"" to 24"" shark",Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Free diving / spearfishing,M,Left hand severed,N,"Bull shark, 3m",Bull Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to foot,N,4' to 5' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Boating,Kayak Fishing,M,"No injury, teethmarks in kayak",N,"Tiger shark, 8' to 9' ",Tiger Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,Lacerations to head,N,empty,Unidentify,Diving,Amputations or Lacerations,Undetermined
Boating,Kayaking / Fishing,M,"No injury, kayaker fell in the water when kayak bitten by a shark",N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Swimming,F,Upper left thigh bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Paddle boarding,F,"No injury, shark bit paddleboard",N,White shark,White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to hand,N,5' shark,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Body boarding,M,FATAL,Y,"White shark, 4 m to 5m ",White Shark,Board sports,Undetermined,Undetermined
Boating,Kayaking,M,Minor wound to his thigh when shark bit kayak,N,"White shark, 6m ",White Shark,Kayaking,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to left foot,N,"Tiger shark, 10'  ",Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Right shin bitten,N,a small shark,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Scuba diving,M,FATAL,Y,"White shark, 4m ",White Shark,Diving,Undetermined,Undetermined
Unprovoked,Surfing,M,Minor lacerations to foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Boating,Crayfishing,,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to left calf,N,Possibly a bull shark,Bull Shark,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,Left forearm bitten,N,Possibly a 5' to 6' bull shark,Bull Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,F,Bitten on ankle,N,4' to 5' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Bitten on calf,N,4' to 5' shark,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,Lacerations to left calf,N,empty,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Provoked,"Diving, feeding sharks",F,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,"Tawny nurse shark, 40cm",Nurse Shark,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Body boarding,M,"No injury, board bitten",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Kite Surfing,M,Lacerations to left calf,N,4' shark,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Invalid,Attempting to Kite surf from Egypt to Saudi Arabia,M,Harassed by sharks but not injured by them,,empty,Unidentify,Board sports,Undetermined,Undetermined
Provoked,Fishing (illegally),M,Hand injured PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Undetermined,Upper extremities
Provoked,Kite Surfing,M,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,Spinner shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,Laceration to left foot,N,Grey nurse shark,Nurse Shark,Fishing,Amputations or Lacerations,Lower extremities
Boating,Fishing,,"No injury to occupants, boat damaged",N,"White shark, 7m",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"No injury, but fin lost from surfboard",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Snorkeling,,"No injury, shark bit swim fin",N,6' to 8' shark,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Snorkeling,M,Lacerations to right forearm,N,"Tiger shark, 3m",Tiger Shark,Other,Amputations or Lacerations,Upper extremities
Unprovoked,"Diving, photographing sharks",M,"No injury, shark grabbed his camera",N,Tiger shark,Tiger Shark,Diving,Minor or No injuries,Undetermined
Provoked,Fishing,M,Bitten on left thigh     PROVOKED ACCIDENT,N,"Blue shark, 70-kg blue shark",Blue Shark,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to thigh,N,"White shark, 2.7 m",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,Thought to involve a bull shark,Bull Shark,Swimming,Undetermined,Undetermined
Unprovoked,Surfing,M,"No injury, surfboard damaged",N,White shark,White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Right forearm and wrist injured,N,2 m shark,Unidentify,Board sports,Undetermined,Upper extremities
Unprovoked,Spearfishing,M,"No injury, punctures to swim fin",N,Allegedly a 4 m tiger shark,Tiger Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,empty,M,Hand injured,N,empty,Unidentify,Other,Undetermined,Upper extremities
Invalid,Swimming,M,Bitten on right hand & wrist,,Shark involvement not confirmed,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to left thigh and calf,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Laceration to ankle,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Canoeing,M,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,7' to 8' shark ,Unidentify,Kayaking,Minor or No injuries,Undetermined
Boating,Kayak Fishing,M,No injury but kayak dented,N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,5 puncture wounds to thigh,N,"White shark, 2.5m",White Shark,Board sports,Undetermined,Lower extremities
Invalid,Surf skiing ,M,"No injury, ski damaged",,Shark involvement not confirmed,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Minor injuries to left leg ,N,Wobbegong shark,Wobbegong Shark,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Surfing,F,Minor injury to calf ,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Invalid,Spearfishing,,Killed by a shark or crocodile.,,Shark involvement not confirmed,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Surfing,M,Torn shoulder ligament as result of collision with shark,N,empty,Unidentify,Board sports,Undetermined,Upper extremities
Unprovoked,Surfing,M,Lacerations to right hand,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Puncture marks to foot,N,Wobbegong shark?,Wobbegong Shark,Swimming,Undetermined,Lower extremities
Boating,Kayaking,M,"No injury, kayak bitten",N,"White shark, 15' to 16'",White Shark,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Scuba diving,M,"No injury, shark collided with diver",N,empty,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Legs bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Free diving / spearfishing,M,Left foot bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"Lacerations to right wrist, foream & neck",N,White shark,White Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury, shark bumped leg & board. ",N,8' to 10' shark,Unidentify,Board sports,Minor or No injuries,Lower extremities
Provoked,Diving,,Arm bitten by captive shark PROVOKED INCIDENT,N,Raggedtooth shark,Ragged Shark,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Diving,M,FATAL,Y,"White shark, 10'",White Shark,Diving,Undetermined,Undetermined
Unprovoked,Surfing,M,"No injury, shark bit surfboard",N,"White shark, 15'",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Diving,M,Small bruise to calf,N,"Port Jackson shark, 1m",Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Surfing,M,Foot bitten,N,3' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,No injury,N,10' to 12' shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Boating,Canoeing,M,No injury to occupant,N,2 to 2.5 m shark,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Wade fishing,M,Minor injury to thigh,N,empty,Unidentify,Fishing,Minor or No injuries,Lower extremities
Unprovoked,empty,M,Lacerations to right wrist and middle finger,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Invalid,Surfing,M,Lacerations to lower right leg ,,No shark involvement,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Severe injuries to left arm PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,"Right leg severed, left leg lacerated",N,White shark,White Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Laceration to left thigh,N,"Bull shark, 6'",Bull Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Jumping in the waves,M,Laceration to left thigh,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Boating,Canoeing,M,"No injury, canoe bitten by shark",N,empty,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Surfing,M,Lacerations to arm,N,4' to 6' shark,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury, board bitten",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Kite Surfing,M,Lacerations to right leg,N,"Tiger shark, 2m",Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,,"No injury, shark bit surfboard",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,FATAL,Y,White shark,White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Lacerations to ankle & foot,N,"6' shark, possibly a blactip or spinner shark",Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to lower leg,N,6' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,FATAL,,Shark involvement prior to death not confirmed,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Wade Fishing,F,"Lacerations to anterior left shin, abrasion to posteior right leg",N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,"Standing, collecting sea stars",M,Superficial laceration to shoulder,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Heel bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,FATAL,Y,"White shark, >6'",White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,M,"Lacerations to hip, thigh and knee",N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,F,Lacerations to foot,N,Possibly a 5' to 6' sandtiger shark,Sand Shark,Wading,Amputations or Lacerations,Lower extremities
Invalid,empty,M,Abrasions to left hand,,Shark involvement not confirmed,Unidentify,Other,Undetermined,Upper extremities
Unprovoked,Swimming,M,Hands severed,N,4 m shark,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"No injury, board bitten",N,Grey reef shark ,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Floating ,M,Lacerations to  lower right leg and foot,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming or Snorkeling,M,FATAL,Y,"Bull shark, 6'",Bull Shark,Swimming,Undetermined,Undetermined
Invalid,Playing in the surf,M,Puncture wounds to foot,N,Shark involvement not confirmed,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Swimming,M,Lower right leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Diving,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Invalid,Swimming,M,Cause of death may have been drowning; remains scavenged by sharks,,Shark involvement prior to death not confirmed,Unidentify,Swimming,Undetermined,Undetermined
Sea Disaster,Sea disaster,M,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,N,empty,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Wade Fishing,M,"No injury, shark bit boot",N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Upper left arm & right leg bitten,N,"White shark, 3m to 4m",White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Boogie Boarding,F,Lower right leg & foot bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Boating,Kayaking or Wave skiing,M,No injury,N,empty,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Surf fishing,M,Lacerations to left foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Scuba diving,M,Injuries to arm,N,empty,Unidentify,Diving,Undetermined,Upper extremities
Unprovoked,Swimming,M,Foot bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Wade Fishing,M,Lacerations to right foot,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injuries: scratches on nose & ankle. Board broken in two,N,empty,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Kayaking,M,"Right arm bitten, defense wounds to left hand",N,empty,Unidentify,Kayaking,Amputations or Lacerations,Upper extremities
Unprovoked,Snorkeling,M,Lacerations to left shoulder and back,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Lacerations to right thigh,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Scuba diving,M,Severe lacerations to hands and  left leg,N,"Bull shark, 3m female",Bull Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Playing in the surf,F,Ankle bitten,N,"Bull shark, 6'",Bull Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Shark leapt onto surfboard; surfer uninjured ,N,"White shark, 5' k",White Shark,Board sports,Undetermined,Undetermined
Unprovoked,Jet skiing,M,Lacerations to foot and ankle,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Spearfishing,M,Right calf bitten,N,5' shark,Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Boogie Boarding,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Boating,Fishing,,"No injury, shark slammed into boat",N,"Oceanic whitetip shark, 7'",Whitetip Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Scuba diving,M,Lacerations to right calf,N,"Blacktip shark, 4'",Blacktip Shark,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Spearfishing,M,Injuries to right hand and forearm,N,empty,Unidentify,Diving,Undetermined,Upper extremities
Unprovoked,Spearfishing,M,"No injury, minor damage to wetsuit",N,"Sevengill shark, 6' to 8'",Sevengill Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Wading,M,Puncture wound to calf,N,3' to 4' shark,Unidentify,Wading,Undetermined,Undetermined
Unprovoked,Snorkeling,F,Laceration to dorsum of right foot,N,Blacktip reef shark ,Blacktip Shark,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Standing or boogie boardin,F,Lacerations & punctures to right thigh ,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"No injury, board bumped by shark",N,White shark,White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,F,"No injury, board bitten",N,"Tiger shark, 10'",Tiger Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Paddle boarding,F,"No injury, board bitten",N,Tiger shark,Tiger Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Spearfishing,M,"Thigh bitten, FATAL",Y,Zambesi shark,Bull Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Body surfing,M,Lacerations to left foot & ankle,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Kite Boarding,M,"Thigh bitten, FATAL",Y," Tiger shark, 2.8m",Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injury; puncture wounds to calf,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Provoked,Fishing ,M,Laceration to arm by captive shark PROVOKED INCIDENT,N,"Sandbar shark, 8'",Sand Shark,Fishing,Amputations or Lacerations,Upper extremities
Invalid,Fishing ,M,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",,Invalid,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Spearfishing,M,Calf bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Spearfishing,M,Calf bitten,N,"Bull shark, 12'",Bull Shark,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Washing sand off a speared fish,M,Heel bitten,N,"reef shark, 1.5m",Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Surfing ,M,Minor puncture wounds,N,1' to 2' shark,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Puncture to left hand,N,possibly a bronze whaler shark,Cooper Shark,Board sports,Undetermined,Upper extremities
Unprovoked,Surfing,M,Lacerations to forearm,N," Bull shark, 2.5 m",Bull Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Diving,M,Minor injuries to left leg and hand,N,empty,Unidentify,Diving,Minor or No injuries,Lower extremities
Provoked,"Standing, holding shark pup",M,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,Blacktip shark pup,Blacktip Shark,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,F,Lower leg & foot bitten,N,Bull shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Severe injury to left forearm,N,"Bull shark, 2.5m",Bull Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Right foot bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Diving / fishing,M,"Left forearm severely bitten, surgically amputated",N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Wakeboarding,F,"Severe injuries to head, neck, shoulder & upper left arm",N,3 m to 4 m shark,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Invalid,empty,F,"Apparent drowning, and subsequent scavenging by 16' tiger shark",,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Surfing,M,"No injury, surboard broken",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Provoked,Fishing,M,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,"Bull shark, 2m",Bull Shark,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Spearfishing,M,Lacerations to left forearm,N,1.5 m shark,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Left leg severed at the knee,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Diving for abalone,M,FATAL,Y,White shark x 2,White Shark,Diving,Undetermined,Undetermined
Provoked,Fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,1 m shark,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Snorkeling,M,Arm bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Provoked,Shark fishing on the Ricardo Astorga,M,Left foot bitten PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Surf fishing,M,Right leg bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,"Leg, forearm & hand severely bitten",N,6' shark,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Shark fishing on the Don AgustÃ­n-VI. ,M,Left eg bitten PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Scuba diving,M,Arm bitten ,N,Caribbean reef shark,Caribean Shark,Diving,Amputations or Lacerations,Upper extremities
Invalid,Swimming,F,Lacerations to both legs,,Shark involvement not confirmed,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Attempting to fix motor,M,Bitten on leg and groin,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Boating,Fishing,,"No injury, shark nudged boat and bit propeller",N,White shark,White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,"Lacerations to his lower left leg, calf, foot & ankle",N,6' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to  foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to right foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Snorkeling,F,FATAL,Y,"Oceanic whitetip shark, 2.5m ",Whitetip Shark,Other,Undetermined,Undetermined
Unprovoked,Surfing,M,Lacerations to right hand,N,empty,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Snorkeling,M,Both arms severely bitten,N,Mako shark ,Mako Shark,Other,Amputations or Lacerations,Upper extremities
